taxon,species,color_desc,flowering_months,family,color_id,red,orange,yellow,green,blue,purple,pink,white,brown,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,inat_phen,ob_num
Galeopsis tetrahit L.,Galeopsis tetrahit,"White, purple","jun, sep",Lamiaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,171
Galinsoga quadriradiata Ruiz & Pav.,Galinsoga ciliata,White,"jun,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,TRUE,509
Galium aparine L.,Galium aparine,White,apr,Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,2208
Galium asprellum Michx.,Galium asprellum,White,"may, sep",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,68
Galium boreale L.,Galium boreale,White,"may, sep",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,385
Galium circaezans Michx.,Galium circaezans,Green,"jun, aug",Rubiaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,138
Galium concinnum Torr. & A.Gray,Galium concinnum,White,"may, aug",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE,81
Galium lanceolatum (Torr. & A.Gray) Torr.,Galium lanceolatum,Purple,"jun, jul",Rubiaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE,28
Galium mollugo L.,Galium mollugo,White,"jun, sep",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Galium palustre L.,Galium palustre,White,"may, aug",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,71
Galium pilosum Aiton,Galium pilosum,"Greenish-white, purple","jun, sep",Rubiaceae,green,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,41
Galium tinctorium L.,Galium tinctorium,White,"apr, may",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,TRUE,25
Galium trifidum L.,Galium trifidum,White,"jun, jul",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,16
Galium triflorum Michx.,Galium triflorum,Greenish-white,"may, sep",Rubiaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,337
Galium verum L.,Galium verum,Yellow,"jun, aug",Rubiaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,87
Gaultheria hispidula (L.) Muhl. ex Bigelow,Gaultheria hispidula,White,"may, jun",Ericaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,TRUE,13
Gentiana andrewsii Griseb.,Gentiana andrewsii,"Blue, violet","jul, oct",Gentianaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,402
Gentiana clausa Raf.,Gentiana clausa,"Blue, violet","aug, oct",Gentianaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,TRUE,262
Gentiana linearis Froel.,Gentiana linearis,"Blue, violet","jul, sep",Gentianaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,258
Gentiana saponaria L.,Gentiana saponaria,"Blue, violet","aug, nov",Gentianaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,TRUE,14
Gentiana villosa L.,Gentiana villosa,"Greenish white, purple","aug, oct",Gentianaceae,green,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,TRUE,8
Gentianella quinquefolia (L.) Small,Gentiana quinquefolia,"Pale violet, whitish","aug, oct",Gentianaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE,82
Gentianopsis crinita (Froel.) Ma,Gentiana crinita,Violet-blue,"aug, nov",Gentianaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE,298
Gentianopsis virgata (Raf.) Holub,Gentiana procera,Violet-blue,"aug,oct",Gentianaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,118
Geranium bicknellii Britton,Geranium bicknellii,Pale purple,"may,sep",Geraniaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,76
Geranium carolinianum L.,Geranium carolinianum,"Pale pink, pale purple","jun,aug",Geraniaceae,purple,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,168
Geranium maculatum L.,Geranium maculatum,Rose purple,"may,jun",Geraniaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,3388
Geranium molle L.,Geranium molle,Pale purple,"apr,sep",Geraniaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Geranium pusillum L.,Geranium pusillum,Pale purple,"jun,sep",Geraniaceae,purple,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,TRUE,8
Geranium robertianum L.,Geranium robertianum,Rose-purple,"may,oct",Geraniaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,1649
Geum aleppicum Jacq.,Geum aleppicum,Yellow,"jun, jul",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,103
Geum canadense Jacq.,Geum canadense,White,"may, jul",Rosaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,757
Geum fragarioides (Michx.) Smedmark,Waldsteinia fragarioides,Yellow,"may,jun",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,324
Geum laciniatum Murray,Geum laciniatum,White,"may, jun",Rosaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE,17
Geum macrophyllum Willd.,Geum macrophyllum,Yellow,"jun, aug",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,34
Geum peckii Pursh,Geum peckii,Yellow,"jun, aug",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,150
Geum rivale L.,Geum rivale,Purplish,"jun, jul",Rosaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,131
Geum vernum (Raf.) Torr. & A.Gray,Geum vernum,"Yellow, cream","mar, may",Rosaceae,yellow,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,76
Geum virginianum L.,Geum virginianum,Greenish yellow,"jun, aug",Rosaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,4
Gillenia stipulata (Muhl. ex Willd.) Nutt.,Gillenia stipulata,White,"may,jul",Rosaceae,white,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,13
Gillenia trifoliata (L.) Moench,Gillenia trifoliata,White,"apr,jun",Rosaceae,white,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,33
Glaucium flavum Crantz,Glaucium flavum,Yellow,"may, aug",Papaveraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,17
Glechoma hederacea L.,Glechoma hederacea,"Blue, violet","apr, jun",Lamiaceae,blue,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,3767
Gnaphalium uliginosum L.,Gnaphalium uliginosum,White,"jun,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,11
Goodyera oblongifolia Raf.,Goodyera oblongifolia,Whitish,"July, September",Orchidaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,25
Goodyera pubescens (Willd.) R.Br.,Goodyera pubescens,Whitish,"July, September",Orchidaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,626
Goodyera repens (L.) R.Br.,Goodyera repens,Whitish,"July, September",Orchidaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,25
Goodyera tesselata Lodd.,Goodyera tesselata,Whitish,"June, August",Orchidaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,132
Gratiola neglecta Torr.,Gratiola neglecta,"Yellowish, cream, white","may, oct",Plantaginaceae,yellow,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,TRUE,22
Grindelia squarrosa (Pursh) Dunal,Grindelia squarrosa,Yellow,"jul,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,3
Hackelia virginiana (L.) I.M.Johnst.,Hackelia virginiana,Whitish,"jun, aug",Boraginaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,220
Halenia deflexa (Sm.) Griseb.,Halenia deflexa,"Purplish, greenish","jun, aug",Gentianaceae,green,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,28
Halerpestes cymbalaria (Pursh) Greene,Ranunculus cymbalaria,Yellow,"may,aug",Ranunculaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,4
Harrimanella hypnoides (L.) Coville,Cassiope hypnoides,White,"jun,aug",Ericaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,12
Hedeoma pulegioides (L.) Pers.,Hedeoma pulegioides,"Bluish white, cream","jul, sep",Lamiaceae,blue,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,19
Helenium amarum (Raf.) H.Rock,Helenium tenuifolium,Yellow,"mar,nov",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,TRUE,3
Helenium autumnale L.,Helenium autumnale,Yellow,"aug,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,700
Helenium flexuosum Raf.,Helenium nudiflorum,Yellow,"apr,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,TRUE,75
Helianthus angustifolius L.,Helianthus angustifolius,Yellow,"aug,nov",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE,14
Helianthus annuus L.,Helianthus annuus,Yellow,"aug,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,140
Helianthus decapetalus L.,Helianthus decapetalus,Yellow,"jun,nov",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,77
Helianthus divaricatus L.,Helianthus divericatus,Yellow,"jun,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,176
Helianthus giganteus L.,Helianthus giganteus,Yellow,"jul,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,66
Helianthus microcephalus Torr. & A.Gray,Helianthus microcephalus,Yellow,"aug,nov",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,14
Helianthus strumosus L.,Helianthus strumosus,Yellow,"jul,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,38
Helianthus tuberosus L.,Helianthus tuberosus,Yellow,"aug,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,178
Heliopsis helianthoides (L.) Sweet,Heliopsis helianthoides,Yellow,"jun,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,509
Helonias bullata L.,Helonias bullata,"Pink, purplish","apr,jun",Melanthiaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE,19
Hemerocallis fulva (L.) L.,Hemerocallis fulva,Orange,"jun,aug",Hemerocallidaceae,orange,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,817
Heracleum sphondylium L.,Heracleum maximum,White,"may, jul",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,6
Hesperis matronalis L.,Hesperis matronalis,"Purple, pink, white","may, jul",Brassicaceae,purple,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,4476
Heteranthera dubia (Jacq.) MacMill.,Heteranthera dubia,Pale yellow,"jul,oct",Pontederiaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,73
Heterotheca subaxillaris (Lam.) Britton & Rusby,Heterotheca subaxillaris,Yellow,"mar,dec",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,55
Heuchera americana L.,Heuchera americana,"Green, purplish","mar, aug",Saxifragaceae,green,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,60
Hexasepalum teres (Walter) J.H.Kirkbr. & Delprete,Diodia teres,"White, pale-purple","jul, sep",Rubiaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,91
Hibiscus laevis All.,Hibiscus militaris,Pink,"jul, sep",Malvaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,111
Hibiscus trionum L.,Hibiscus trionum,Pale yellow,"jul, sep",Malvaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,449
Hieracium canadense Froel.,Hieracium canadense,Yellow,"jun,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Hieracium lachenalii Suter,Hieracium vulgatum,Yellow,"jun,aug",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,25
Hieracium scabrum Michx.,Hieracium scabrum,Yellow,"jul,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,194
Hieracium venosum L.,Hieracium venosum,Yellow,"may,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,147
Honckenya peploides (L.) Ehrh.,Arenaria peploides,White,"may,aug",Caryophyllaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,2
Houstonia caerulea L.,Houstonia caerulea,"Pale-blue, white","apr, aug",Rubiaceae,blue,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,6467
Houstonia canadensis Willd. ex Roem. & Schult.,Houstonia canadensis,"White, pale lilac","may, jun",Rubiaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,12
Houstonia longifolia Gaertn.,Houstonia tenuifolia,"White, pale lilac","may, jul",Rubiaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,172
Houstonia purpurea L.,Houstonia purpurea,"White, pale lilac","may, jun",Rubiaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,98
Hudsonia ericoides L.,Hudsonia ericoides,Yellow,"may,jul",Cistaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,91
Hudsonia tomentosa Nutt.,Hudsonia tomentosa,Bright yellow,"may,jul",Cistaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,81
Hydrastis canadensis L.,Hydrastis canadensis,Greenish white,may,Ranunculaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,221
Hydrocotyle americana L.,Hydrocotyle americana,Whitish,"may, aug",Araliaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,150
Hydrocotyle umbellata L.,Hydrocotyle umbellata,Greenish-white,"apr, oct",Araliaceae,green,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,62
Hydrophyllum appendiculatum Michx.,Hydrophyllum appendiculatum,Lavender,"may, jun",Hydrophyllaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,198
Hydrophyllum canadense L.,Hydrophyllum canadense,"White, purplish","apr, jun",Hydrophyllaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,40
Hydrophyllum macrophyllum Nutt.,Hydrophyllum macrophyllum,"White, lavendar","apr, jun",Hydrophyllaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,33
Hydrophyllum virginianum L.,Hydrophyllum virginianum,"White, lavendar","may, jun",Hydrophyllaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,737
Hylodesmum glutinosum (Muhl. ex Willd.) H.Ohashi & R.R.Mill,Desmodium glutinosum,Purple,"jul, aug",Fabaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,416
Hylodesmum nudiflorum (L.) H.Ohashi & R.R.Mill,Desmodium nudiflorum,Rose-purple,"July, September",Fabaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,199
Hylotelephium telephioides (Michx.) H.Ohba,Sedum telephioides,"Pale-pink, white","aug, sep",Crassulaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,TRUE,16
Hylotelephium telephium (L.) H.Ohba,Sedum purpureum,Pink-purple,"jul, sep",Crassulaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,59
Hypericum ascyron L.,Hypericum pyramidatum,Yellow,"jul,aug",Hypericaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,67
Hypericum canadense L.,Hypericum canadense,Yellow,"jun,sep",Hypericaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,62
Hypericum denticulatum Walter,Hypericum deticulatum,Coppery yellow,"jun,sep",Hypericaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,TRUE,7
Hypericum ellipticum Hook.,Hypericum ellipticum,Yellow,"jul,aug",Hypericaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,61
Hypericum gentianoides (L.) Britton & al.,Hypericum gentianoides,Yellow,"jul, oct",Hypericaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,92
Hypericum majus (A.Gray) Britton,Hypericum majus,Yellow,"jun,sep",Hypericaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,TRUE,7
Hypericum mutilum L.,Hypericum mutilum,Yellow,"apr,oct",Hypericaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,175
Hypericum perforatum L.,Hypericum perforatum,Yellow,"jun,sep",Hypericaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,1428
Hypericum punctatum Lam.,Hypericum punctatum,Yellow,"jun,aug",Hypericaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,187
Hypochaeris radicata L.,Hypochaeris radicata,Yellow,"may,nov",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,150
Hypoxis hirsuta (L.) Coville,Hypoxis hirsuta,Yellow,"may,jul",Hypoxidaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,714
Hyssopus officinalis L.,Hyssopus officinalis,Blue-purple,"jun, sep",Lamiaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,5
Impatiens capensis Meerb.,Impatiens capensis,"Orange, red-brown","July, October",Balsaminaceae,red,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,6102
Impatiens pallida Nutt.,Impatiens pallida,Yellow,"June, October",Balsaminaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,1460
Inula helenium L.,Inula helenium,Yellow,"jul,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,328
Iris cristata Aiton,Iris cristata,"Blue, orange, white","mar, may",Iridaceae,orange,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,51
Iris domestica (L.) Goldblatt & Mabb.,Belamcanda chinensis,"Orange, red","jul,aug",Iridaceae,red,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,47
Iris prismatica Pursh,Iris prismatica,Blue,"may, jul",Iridaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,16
Iris pseudacorus L.,Iris pseudacorus,Yellow,"may, jun",Iridaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,869
Iris verna L.,Iris verna,"Blue, violet, yellow","apr,may",Iridaceae,yellow,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE,33
Iris versicolor L.,Iris versicolor,"Blue, yellow","may, aug",Iridaceae,yellow,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,1278
Isotria medeoloides (Pursh) Raf.,Isotria medeoloides,"Yellowish, green","may, jun",Orchidaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,8
Isotria verticillata (Muhl. ex Willd.) Raf.,Isotria verticillata,"Yellowish, greenish","apr, jun",Orchidaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,47
Jeffersonia diphylla (L.) Pers.,Jeffersonia diphylla,White,"apr,may",Berberidaceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE,273
Knautia arvensis (L.) Coult.,Knautia arvensis,Lilac-purple,"jun, sep",Dipsacaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,12
Krigia biflora (Walter) S.F.Blake,Krigia biflora,Orange-yellow,"may,aug",Asteraceae,orange,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,245
Krigia dandelion (L.) Nutt.,Cacalia tuberosa,Whitish,"apr,jun",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,10
Krigia virginica (L.) Willd.,Krigia virginica,Yellow,"apr,aug",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,TRUE,125
Lachnanthes caroliniana (Lam.) Dandy,Lachnanthes caroliana,Dull yellow,"jun, aug",Haemodoraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,20
Lactuca biennis (Moench) Fernald,Lactuca biennis,Blue,"jul,sep",Asteraceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,123
Lactuca canadensis L.,Lactuca canadensis,"Pale yellow, reddish yellow","jul,sep",Asteraceae,red,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,90
Lactuca serriola L.,Lactuca scariola,Yellow,"jul,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,172
Lamium album L.,Lamium album,White,"mar, nov",Lamiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Lamium amplexicaule L.,Lamium amplexicaule,"Purplish, reddish","may, oct",Lamiaceae,red,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,TRUE,1501
Lamium purpureum L.,Lamium purpureum,"Purplish, reddish","apr, oct",Lamiaceae,red,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,5197
Laportea canadensis (L.) Wedd.,Laportea canadensis,Greenish,"jul,aug",Urticaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,191
Lappula squarrosa (Retz.) Dumort.,Lappula echinata,Blue,"may, sep",Boraginaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,3
Lapsana communis L.,Lapsana communis,Yellow,"jun,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,787
Lechea intermedia Legg.,Lechea intermedia,Pinkish red,"jun,aug",Cistaceae,red,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Lechea mucronata Raf.,Lechea illosa,"Reddish, brown","jun,sep",Cistaceae,red,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Lechea tenuifolia Michx.,Lechea tenuifolia,"Reddish, greenish","jul,aug",Cistaceae,red,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Leonurus cardiaca L.,Leonurus cardiaca,"Lilac, pale-purple","jun, aug",Lamiaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,559
Lepidium campestre (L.) R.Br.,Lepidium campestre,White,"apr, jun",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,110
