taxon,species,color_desc,flowering_months,family,color_id,red,orange,yellow,green,blue,purple,pink,white,brown,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,inat_phen
Dipsacus sylvestris Huds.,Dipsacus sylvestris,Lilac,"sep,oct",Dipsacaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Prosartes lanuginosa (Michx.) D.Don,Disporum lanuginosum,Greenish,"apr,jun",Liliaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Primula meadia (L.) A.R.Mast & Reveal,Dodecatheon meadia,"Pink, lilac, white","mar, jun",Primulaceae,purple,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Draba verna L.,Draba verna,White,"apr, may",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE
Drosera filiformis Raf.,Drosera filiformis,Purple,"jun, sep",Droseraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Drosera intermedia Hayne,Drosera intermedia,White,"jun, sep",Droseraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Drosera rotundifolia L.,Drosera rotundifolia,White,"jun, sep",Droseraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Potentilla indica (Jacks.) Th.Wolf,Duchesnea indica,Yellow,"apr, aug",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Echinacea purpurea (L.) Moench,Echinacea purpurea,Reddish purple,"jul,oct",Asteraceae,red,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Echinocystis lobata (Michx.) Torr. & A.Gray,Echinocystis lobata,Greenish white,"jul,sep",Cucurbitaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Echium vulgare L.,Echium vulgare,Blue,"June, September",Boraginaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Enemion biternatum Raf.,Enemion biternatum,White,"apr, may",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Epifagus virginiana (L.) W.P.C.Barton,Epifagus virginiana,"Whitish, purple-brown","July, October",Orobanchaceae,purple,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Epigaea repens L.,Epigaea repens,"Pink, white","apr, may",Ericaceae,pink,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Epilobium coloratum Biehler,Epilobium coloratum,"White, pink","jun, oct",Onagraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Epilobium ciliatum Raf.,Epilobium glandulosum,"Pink, lilac","jun, oct",Onagraceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Epilobium hirsutum L.,Epilobium hirsutum,Rose-purple,"jul, aug",Onagraceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Epilobium leptophyllum Raf.,Epilobium leptophyllum,"Pink, whitish","jun, aug",Onagraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Epilobium strictum Muhl. ex Spreng.,Epilobium strictum,"Pink, whitish","jul, sep",Onagraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Epipactis helleborine (L.) Crantz,Epipactis helleborine,"Purple, green, purple","July, August",Orchidaceae,green,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Erechtites hieraciifolia (L.) Raf. ex DC.,Erechtites hieracifolia,Greenish white,"jul,sep",Asteraceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Erigenia bulbosa (Michx.) Nutt.,Erigenia bulbosa,White,"apr, may",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,TRUE
Erigeron annuus (L.) Desf.,Erigeron annuus,"White, pink","jun,oct",Asteraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Erigeron rufescens Link ex Steud.,Erigeron canadensis,"Whitish, greenish","jul,sep",Asteraceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Erigeron philadelphicus L.,Erigeron philadelphicus,"Pinkish, whitish","may,jun",Asteraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Erigeron pulchellus Michx.,Erigeron pulchellus,"Violet, lilac","apr,jun",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Erigeron strigosus Muhl. ex Willd.,Erigeron strigosus,"White, pink","jun,sep",Asteraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,TRUE
Eriocaulon aquaticum (Hill) Druce,Eriocaulon septangulare,Whitish,"jul,sep",Eriocaulaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Erodium cicutarium (L.) L'Hér. ex Aiton,Erodium cicutarium,"Pink, purple","jun,sepp",Geraniaceae,purple,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,TRUE
Eryngium yuccifolium Michx.,Eryngium yuccifolium,White,"jul,aug",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Erysimum cheiranthoides L.,Erysimum cheiranthoides,Yellow,"jun, aug",Brassicaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Erythronium albidum Nutt.,Erythronium albidum,"White, blue","apr,may",Liliaceae,blue,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Erythronium americanum KerGawl.,Erythronium americanum,Yellow,"apr,may",Liliaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Eupatorium album L.,Eupatorium album,White,"jul,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Eupatorium altissimum L.,Eupatorium altissimum,White,"aug,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Ageratina aromatica (L.) Spach,Eupatorium aromaticum,White,"jul,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Conoclinium coelestinum (L.) DC.,Eupatorium coelestinum,"Blue, violet","jul,oct",Asteraceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Eupatorium dubium Willd. ex Poir.,Eupatorium dubium,Purple,"jul,oct",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Eupatorium fistulosum Barratt,Eupatorium fistulosum,"Purple, pink","jul,sep",Asteraceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Eupatorium hyssopifolium L.,Eupatorium hyssopifolium,White,"jun,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Eupatorium leucolepis (DC.) Torr. & A.Gray,Eupatorium leucolepsis,White,"jul,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Eupatorium maculatum L.,Eupatorium maculatum,Purple,"jul,sep",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Eupatorium perfoliatum L.,Eupatorium perfoliatum,White,"jul,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Eupatorium rotundifolium L.,Eupatorium pubescens,White,"jul,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Eupatorium purpureum L.,Eupatorium purpureum,Pale pink,"jul,sep",Asteraceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Ageratina liebmannii (Sch.Bip. ex Klatt) R.M.King & H.Rob.,Eupatorium rugosum,White,"aug,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Eupatorium serotinum Michx.,Eupatorium serotinum,White,"sep,nov",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Eupatorium sessilifolium L.,Eupatorium sessilifolium,White,"jul,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Euphorbia corollata L.,Euphorbia corollata,White,"jun, sep",Euphorbiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,TRUE
Euphorbia cyparissias L.,Euphorbia cyparissias,"Yellowish, greenish","may,aug",Euphorbiaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Euphorbia esula L.,Euphorbia esula,Greenish yellow,"jun,aug",Euphorbiaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Euphorbia helioscopia L.,Euphorbia helioscopia,Green,"may,oct",Euphorbiaceae,green,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE
Euphorbia marginata Pursh,Euphorbia marginata,White,"jun, oct",Euphorbiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Euphorbia peplus L.,Euphorbia peplus,Greenish yellow,"jun,sep",Euphorbiaceae,yellow,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,TRUE
Euphorbia polygonifolia L.,Euphorbia polygonifolia,Greenish,"jul,aug",Euphorbiaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Euphorbia maculata L.,Euphorbia supina,"Whitish, reddish","jun,sep",Euphorbiaceae,red,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,TRUE
Euphrasia nemorosa (Pers.) Wallr.,Euphrasia nemorosa,"White, purple","jun, sep",Orobanchaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Fagopyrum esculentum Moench,Fagopyrum sagittatum,White,"jun, sep",Polygonaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Filipendula rubra (Hill) B.L.Rob.,Filipendula rubra,Deep pink,"jun, aug",Rosaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
Floerkea proserpinacoides Willd.,Floerkea proserpinacoides,White,"apr, jun",Limnanthaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Fragaria vesca L.,Fragaria vesca,White,"may, aug",Rosaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Fragaria virginiana Duchesne,Fragaria virginiana,White,"mar, nov",Rosaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Fumaria officinalis L.,Fumaria officinalis,"Pinkish, crimson","jul, aug",Fumariaceae,red,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Nemophila aphylla (L.) Brummitt,Galax aphylla,White,"mar,may",Hydrophyllaceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE
Galearis spectabilis (L.) Raf.,Galearis spectabilis,Magenta,"May, June",Orchidaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Galeopsis tetrahit L.,Galeopsis tetrahit,"White, purple","jun, sep",Lamiaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Galinsoga quadriradiata Ruiz & Pav.,Galinsoga ciliata,White,"jun,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,TRUE
Galium aparine L.,Galium aparine,White,apr,Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Galium asprellum Michx.,Galium asprellum,White,"may, sep",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Galium boreale L.,Galium boreale,White,"may, sep",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Galium circaezans Michx.,Galium circaezans,Green,"jun, aug",Rubiaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Galium concinnum Torr. & A.Gray,Galium concinnum,White,"may, aug",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
Galium lanceolatum (Torr. & A.Gray) Torr.,Galium lanceolatum,Purple,"jun, jul",Rubiaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
Galium mollugo L.,Galium mollugo,White,"jun, sep",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Galium palustre L.,Galium palustre,White,"may, aug",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Galium pilosum Aiton,Galium pilosum,"Greenish-white, purple","jun, sep",Rubiaceae,green,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Galium tinctorium L.,Galium tinctorium,White,"apr, may",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,TRUE
Galium trifidum L.,Galium trifidum,White,"jun, jul",Rubiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Galium triflorum Michx.,Galium triflorum,Greenish-white,"may, sep",Rubiaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Galium verum L.,Galium verum,Yellow,"jun, aug",Rubiaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Gaultheria hispidula (L.) Muhl. ex Bigelow,Gaultheria hispidula,White,"may, jun",Ericaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,TRUE
Oenothera gaura W.L.Wagner & Hoch,Gaura biennis,"White, pink","jun, aug",Onagraceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Gentiana andrewsii Griseb.,Gentiana andrewsii,"Blue, violet","jul, oct",Gentianaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Gentiana autumnalis L.,Gentiana autumnalis,Deep blue,"sep, dec",Gentianaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Gentiana clausa Raf.,Gentiana clausa,"Blue, violet","aug, oct",Gentianaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,TRUE
Gentianopsis crinita (Froel.) Ma,Gentiana crinita,Violet-blue,"aug, nov",Gentianaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Gentiana linearis Froel.,Gentiana linearis,"Blue, violet","jul, sep",Gentianaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Gentianopsis virgata (Raf.) Holub,Gentiana procera,Violet-blue,"aug,oct",Gentianaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Gentiana pubigera C.Marquand,Gentiana puberula,Blue,"aug,oct",Gentianaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Gentianella quinquefolia (L.) Small,Gentiana quinquefolia,"Pale violet, whitish","aug, oct",Gentianaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Gentiana saponaria L.,Gentiana saponaria,"Blue, violet","aug, nov",Gentianaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,TRUE
Gentiana villosa L.,Gentiana villosa,"Greenish white, purple","aug, oct",Gentianaceae,green,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,TRUE
Geranium bicknellii Britton,Geranium bicknellii,Pale purple,"may,sep",Geraniaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Geranium carolinianum L.,Geranium carolinianum,"Pale pink, pale purple","jun,aug",Geraniaceae,purple,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Geranium maculatum L.,Geranium maculatum,Rose purple,"may,jun",Geraniaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Geranium molle L.,Geranium molle,Pale purple,"apr,sep",Geraniaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Geranium pusillum L.,Geranium pusillum,Pale purple,"jun,sep",Geraniaceae,purple,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,TRUE
Geranium robertianum L.,Geranium robertianum,Rose-purple,"may,oct",Geraniaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Aureolaria flava (L.) Farw.,Gerardia flava,Yellow,"jul,sep",Orobanchaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Aureolaria laevigata (Raf.) Raf.,Gerardia laevigata,Yellow,"jul,oct",Orobanchaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Agalinis maritima (Raf.) Raf.,Gerardia maritima,"Pink, purple","jul, oct",Orobanchaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Agalinis paupercula (Britton) Britton,Gerardia paupercula,"Pink, purple","jul, oct",Orobanchaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Aureolaria pedicularia (L.) Raf. ex Pennell,Gerardia pedicularia,Yellow,"may,oct",Orobanchaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Agalinis fasciculata (Elliott) Raf.,Gerardia purpurea,"Pink, purple","aug,oct",Orobanchaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Agalinis tenuifolia (Vahl) Raf.,Gerardia tenuifolia,"Pink, purple","jul, nov",Orobanchaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Aureolaria virginica (L.) Pennell,Gerardia virginica,Yellow,"jun,aug",Orobanchaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Geum aleppicum Jacq.,Geum aleppicum,Yellow,"jun, jul",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Geum canadense Jacq.,Geum canadense,White,"may, jul",Rosaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Geum laciniatum Murray,Geum laciniatum,White,"may, jun",Rosaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
Geum macrophyllum Willd.,Geum macrophyllum,Yellow,"jun, aug",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Geum peckii Pursh,Geum peckii,Yellow,"jun, aug",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Geum rivale L.,Geum rivale,Purplish,"jun, jul",Rosaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Geum vernum (Raf.) Torr. & A.Gray,Geum vernum,"Yellow, cream","mar, may",Rosaceae,yellow,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Geum virginianum L.,Geum virginianum,Greenish yellow,"jun, aug",Rosaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Gillenia stipulata (Muhl. ex Willd.) Nutt.,Gillenia stipulata,White,"may,jul",Rosaceae,white,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Gillenia trifoliata (L.) Moench,Gillenia trifoliata,White,"apr,jun",Rosaceae,white,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Glaucium flavum Crantz,Glaucium flavum,Yellow,"may, aug",Papaveraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Glechoma hederacea L.,Glechoma hederacea,"Blue, violet","apr, jun",Lamiaceae,blue,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
Pseudognaphalium macounii (Greene) Kartesz,Gnaphalium macounii,White,"jul,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Gnaphalium obtusifolium,White,"jul,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Gnaphalium uliginosum L.,Gnaphalium uliginosum,White,"jun,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Goodyera oblongifolia Raf.,Goodyera oblongifolia,Whitish,"July, September",Orchidaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Goodyera pubescens (Willd.) R.Br.,Goodyera pubescens,Whitish,"July, September",Orchidaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Goodyera repens (L.) R.Br.,Goodyera repens,Whitish,"July, September",Orchidaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Goodyera tesselata Lodd.,Goodyera tesselata,Whitish,"June, August",Orchidaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Gratiola aurea Pursh,Gratiola aurea,Yellow,"jun, sep",Plantaginaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Gratiola neglecta Torr.,Gratiola neglecta,"Yellowish, cream, white","may, oct",Plantaginaceae,yellow,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,TRUE
Grindelia squarrosa (Pursh) Dunal,Grindelia squarrosa,Yellow,"jul,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Platanthera flava (L.) Lindl.,Habenaria flava,Yellow-green,July,Orchidaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,TRUE
Hackelia virginiana (L.) I.M.Johnst.,Hackelia virginiana,Whitish,"jun, aug",Boraginaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Halenia deflexa (Sm.) Griseb.,Halenia deflexa,"Purplish, greenish","jun, aug",Gentianaceae,green,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Hedeoma pulegioides (L.) Pers.,Hedeoma pulegioides,"Bluish white, cream","jul, sep",Lamiaceae,blue,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Helenium autumnale L.,Helenium autumnale,Yellow,"aug,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Helenium flexuosum Raf.,Helenium nudiflorum,Yellow,"apr,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,TRUE
Helenium amarum (Raf.) H.Rock,Helenium tenuifolium,Yellow,"mar,nov",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,TRUE
Crocanthemum canadense (L.) Britton,Helianthemum canadense,Yellow,"mar,jul",Cistaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Helianthus angustifolius L.,Helianthus angustifolius,Yellow,"aug,nov",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Helianthus annuus L.,Helianthus annuus,Yellow,"aug,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Helianthus decapetalus L.,Helianthus decapetalus,Yellow,"jun,nov",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Helianthus divaricatus L.,Helianthus divericatus,Yellow,"jun,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Helianthus giganteus L.,Helianthus giganteus,Yellow,"jul,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Helianthus laetiflorus_x Pers.,Helianthus laetiflorus,Yellow,"jul,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Helianthus microcephalus Torr. & A.Gray,Helianthus microcephalus,Yellow,"aug,nov",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Helianthus strumosus L.,Helianthus strumosus,Yellow,"jul,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Helianthus tuberosus L.,Helianthus tuberosus,Yellow,"aug,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
